    90/299     4.74G     0.019  0.005126         0   0.02412        11       640    0.9467    0.9193     0.961    0.9069   0.02108   0.00989         0
    91/299     4.74G    0.0189  0.005264         0   0.02416        10       640    0.9533    0.9224    0.9629      0.91   0.02082  0.009989         0
    92/299     4.74G   0.01893  0.005221         0   0.02415        19       640    0.9546    0.9183    0.9612      0.91    0.0216  0.009886         0
    93/299     4.74G   0.01914  0.005248         0   0.02439        14       640    0.9648     0.908    0.9626    0.9119   0.02193  0.009808         0
    94/299     4.74G   0.01873  0.005135         0   0.02387         7       640    0.9473    0.9109    0.9598    0.9108   0.02161  0.009933         0
    95/299     4.74G   0.01873  0.005264         0     0.024         7       640    0.9564    0.9121    0.9603    0.9078   0.02142      0.01         0
    96/299     4.74G   0.01859  0.005016         0   0.02361        12       640    0.9594     0.908    0.9612    0.9107   0.02211   0.00996         0
    97/299     4.74G   0.01858  0.005149         0   0.02373        15       640    0.9647    0.9049    0.9613    0.9098   0.02136   0.01013         0
    98/299     4.74G   0.01848  0.005137         0   0.02362        14       640    0.9637    0.9067    0.9613    0.9085   0.02075   0.01018         0
    99/299     4.74G    0.0188  0.005069         0   0.02387        11       640    0.9634    0.9059    0.9632    0.9108   0.02071   0.01014         0
   100/299     4.74G   0.01876  0.005151         0   0.02391         8       640    0.9519    0.9173    0.9632     0.911   0.02097   0.01018         0
   101/299     4.74G   0.01845   0.00495         0   0.02341        18       640    0.9708    0.9018    0.9632    0.9105   0.02101   0.01017         0
   102/299     4.74G   0.01857   0.00496         0   0.02353         8       640    0.9681     0.909    0.9637    0.9118   0.02065   0.01026         0
   103/299     4.74G    0.0184   0.00494         0   0.02334        11       640    0.9671    0.9116    0.9645    0.9125   0.02021   0.01037         0
   104/299     4.74G   0.01894  0.005076         0   0.02402        16       640    0.9658    0.9142    0.9648    0.9134   0.02012   0.01037         0
   105/299     4.74G   0.01883   0.00518         0   0.02401         8       640    0.9608    0.9152    0.9653    0.9119   0.02009   0.01037         0
   106/299     4.74G   0.01841  0.005107         0   0.02352         8       640    0.9608    0.9131    0.9647    0.9124    0.0197    0.0104         0
   107/299     4.74G   0.01872  0.005158         0   0.02388        15       640    0.9671    0.9121    0.9651    0.9132   0.01946   0.01039         0
   108/299     4.74G   0.01848  0.004948         0   0.02343        10       640    0.9599    0.9193    0.9658    0.9137   0.01967   0.01042         0
   109/299     4.74G    0.0186  0.005058         0   0.02366        20       640    0.9704     0.915    0.9655    0.9136   0.01944   0.01051         0
   110/299     4.74G   0.01815  0.004806         0   0.02295        11       640    0.9598    0.9204    0.9646    0.9144     0.019   0.01062         0
   111/299     4.74G   0.01842   0.00491         0   0.02333        21       640    0.9642    0.9224    0.9667     0.916   0.01901   0.01056         0
   112/299     4.74G   0.01848  0.005055         0   0.02354         7       640    0.9704    0.9169    0.9673    0.9166   0.01886   0.01054         0
   113/299     4.74G   0.01822   0.00493         0   0.02315        66       640    0.9657    0.9214    0.9677    0.9171   0.01891   0.01052         0
   114/299     4.74G   0.01784  0.004823         0   0.02266        15       640    0.9642    0.9204    0.9685     0.916   0.01912   0.01051         0
   115/299     4.74G   0.01811  0.004944         0   0.02305        10       640    0.9622    0.9224    0.9667    0.9145   0.01977   0.01047         0
   116/299     4.74G   0.01817  0.004992         0   0.02317        10       640    0.9663    0.9181    0.9673    0.9164   0.01959   0.01052         0
   117/299     4.74G   0.01817  0.004967         0   0.02314        20       640    0.9664    0.9245    0.9678    0.9174   0.01965   0.01043         0
   118/299     4.74G    0.0179  0.004969         0   0.02287        11       640    0.9634    0.9255    0.9674     0.916   0.01981   0.01043         0
   119/299     4.74G   0.01777  0.004791         0   0.02256         6       640    0.9584    0.9285    0.9665    0.9156   0.01995   0.01046         0
   120/299     4.74G   0.01754   0.00487         0   0.02241         8       640    0.9615    0.9285    0.9673    0.9162    0.0203   0.01041         0
   121/299     4.74G    0.0177  0.004931         0   0.02263         9       640    0.9625    0.9286    0.9687    0.9177   0.02041   0.01039         0
   122/299     4.74G   0.01774  0.004894         0   0.02264        24       640    0.9654    0.9255    0.9683    0.9182   0.02052    0.0104         0
   123/299     4.74G   0.01793  0.004832         0   0.02276        16       640    0.9737    0.9191    0.9687    0.9177   0.02049   0.01043         0
   124/299     4.74G   0.01827  0.005077         0   0.02334         5       640    0.9605    0.9317    0.9695    0.9182   0.02055   0.01041         0
   125/299     4.74G   0.01835  0.004976         0   0.02332         5       640    0.9615    0.9285    0.9689    0.9182   0.02087   0.01039         0
   126/299     4.74G   0.01739  0.004878         0   0.02227        10       640    0.9726    0.9162    0.9678    0.9171   0.02108   0.01037         0
   127/299     4.74G   0.01803   0.00501         0   0.02304        19       640    0.9676    0.9255    0.9681    0.9174   0.02111   0.01038         0
   128/299     4.74G   0.01777  0.004892         0   0.02266        13       640    0.9687    0.9286     0.969    0.9182   0.02107   0.01041         0
   129/299     4.74G   0.01739  0.004803         0   0.02219         8       640    0.9676    0.9317    0.9695    0.9194   0.02118   0.01038         0
   130/299     4.74G   0.01749  0.004779         0   0.02227        14       640    0.9688    0.9327    0.9693    0.9203   0.02117    0.0104         0
   131/299     4.74G   0.01728  0.004809         0   0.02209        12       640    0.9698    0.9307      0.97    0.9204   0.02106   0.01041         0
   132/299     4.74G   0.01756  0.004798         0   0.02236        16       640    0.9698    0.9297    0.9703    0.9203     0.021   0.01043         0
   133/299     4.74G   0.01703  0.004675         0   0.02171         7       640    0.9668    0.9337    0.9707    0.9216   0.02092   0.01045         0
   134/299     4.74G   0.01751  0.004769         0   0.02228        17       640    0.9678    0.9316    0.9702    0.9216   0.02081   0.01048         0
   135/299     4.74G   0.01742  0.004893         0   0.02232         2       640    0.9688    0.9317    0.9712    0.9215   0.02071   0.01048         0
   136/299     4.74G   0.01735  0.004813         0   0.02217         6       640    0.9668    0.9336    0.9719    0.9216   0.02055   0.01048         0
   137/299     4.74G   0.01741  0.004707         0   0.02211        13       640    0.9719    0.9295    0.9721    0.9211   0.02042   0.01051         0
   138/299     4.74G   0.01702  0.004652         0   0.02167        13       640    0.9708    0.9283     0.971    0.9219   0.02041   0.01051         0
   139/299     4.74G   0.01737  0.004607         0   0.02198        15       640    0.9718     0.926     0.971    0.9224   0.02045   0.01053         0
   140/299     4.74G   0.01729  0.004778         0   0.02207        13       640    0.9637    0.9337    0.9708    0.9223   0.02039   0.01056         0
   141/299     4.74G   0.01702  0.004748         0   0.02177        11       640    0.9687    0.9285    0.9701    0.9232   0.02036   0.01061         0
   142/299     4.74G   0.01723  0.004696         0   0.02192        18       640    0.9644    0.9307    0.9695     0.923   0.02022   0.01067         0
   143/299     4.74G   0.01766  0.004824         0   0.02248        15       640    0.9657    0.9317    0.9712    0.9244   0.02013   0.01071         0
   144/299     4.74G   0.01708  0.004774         0   0.02185         6       640    0.9716    0.9235    0.9706    0.9236   0.02009   0.01074         0
   145/299     4.74G   0.01726  0.004732         0   0.02199         9       640    0.9717    0.9232    0.9706    0.9237   0.01994   0.01077         0
   146/299     4.74G   0.01726   0.00472         0   0.02197        10       640    0.9717     0.923    0.9707    0.9242   0.01992   0.01078         0
   147/299     4.74G   0.01713  0.004628         0   0.02176        10       640    0.9625    0.9328    0.9711    0.9239   0.01993   0.01078         0
   148/299     4.74G   0.01664  0.004618         0   0.02126        11       640    0.9627    0.9338     0.971    0.9238   0.01992   0.01079         0
   149/299     4.74G   0.01699  0.004628         0   0.02162         9       640    0.9637    0.9327    0.9712    0.9233   0.01989   0.01079         0
   150/299     4.74G   0.01663  0.004723         0   0.02136        14       640    0.9666    0.9317    0.9711    0.9226    0.0199    0.0108         0
   151/299     4.74G   0.01682  0.004647         0   0.02147         8       640    0.9678    0.9319    0.9705    0.9227   0.01988    0.0108         0
   152/299     4.74G   0.01704  0.004518         0   0.02155         9       640    0.9667    0.9328    0.9706    0.9242   0.01989   0.01081         0
   153/299     4.74G   0.01657  0.004558         0   0.02113         6       640    0.9657    0.9328    0.9707    0.9236   0.01984   0.01081         0
   154/299     4.74G   0.01662  0.004496         0   0.02112        14       640    0.9636    0.9338    0.9707    0.9244   0.01977   0.01083         0
   155/299     4.74G   0.01677  0.004486         0   0.02126        18       640    0.9638    0.9348    0.9705    0.9245   0.01968   0.01085         0
   156/299     4.74G   0.01679  0.004568         0   0.02136        14       640    0.9637    0.9346    0.9704    0.9243   0.01964   0.01086         0
   157/299     4.74G   0.01656  0.004637         0   0.02119        17       640    0.9656    0.9328    0.9702    0.9242    0.0196   0.01088         0
   158/299     4.74G   0.01671  0.004581         0   0.02129         9       640    0.9657    0.9326    0.9703    0.9235   0.01958   0.01089         0
   159/299     4.74G   0.01658  0.004621         0    0.0212        18       640    0.9657    0.9328    0.9705    0.9235   0.01955    0.0109         0
   160/299     4.74G   0.01696  0.004648         0   0.02161        19       640    0.9657    0.9338    0.9704    0.9246   0.01954   0.01092         0
   161/299     4.74G   0.01653  0.004494         0   0.02102        12       640    0.9636    0.9349    0.9707    0.9249   0.01957   0.01092         0
   162/299     4.74G   0.01622  0.004595         0   0.02081         7       640    0.9646    0.9349    0.9708    0.9253   0.01959   0.01093         0
   163/299     4.74G   0.01645  0.004557         0   0.02101        15       640    0.9644    0.9349    0.9708    0.9255   0.01958   0.01094         0
   164/299     4.74G   0.01682  0.004506         0   0.02133        13       640    0.9645    0.9349    0.9711    0.9262   0.01961   0.01095         0
   165/299     4.74G   0.01634  0.004499         0   0.02084         9       640    0.9656    0.9338    0.9714    0.9269   0.01965   0.01096         0
   166/299     4.74G   0.01643  0.004487         0   0.02092        11       640    0.9708    0.9286    0.9712    0.9265   0.01963   0.01097         0
   167/299     4.74G   0.01639  0.004421         0   0.02081        10       640    0.9678    0.9316    0.9712    0.9272   0.01963   0.01098         0
   168/299     4.74G   0.01611  0.004429         0   0.02054         9       640    0.9739    0.9266    0.9712    0.9266   0.01962   0.01098         0
   169/299     4.74G   0.01652  0.004453         0   0.02097        20       640    0.9737    0.9266    0.9711    0.9271   0.01962   0.01099         0
   170/299     4.74G   0.01647  0.004513         0   0.02098        10       640    0.9717    0.9286    0.9711    0.9266   0.01959     0.011         0
   171/299     4.74G   0.01628  0.004437         0   0.02072         8       640    0.9729    0.9283    0.9712    0.9266   0.01956   0.01101         0
   172/299     4.74G   0.01643  0.004446         0   0.02087        14       640    0.9719    0.9304    0.9711    0.9269   0.01953   0.01102         0
   173/299     4.74G   0.01642  0.004402         0   0.02083         8       640     0.974    0.9286    0.9709    0.9269   0.01951   0.01102         0
   174/299     4.74G     0.016  0.004375         0   0.02038        13       640     0.974    0.9285    0.9708     0.927   0.01949   0.01103         0
   175/299     4.74G   0.01615  0.004402         0   0.02055         8       640    0.9699    0.9328    0.9708    0.9269   0.01943   0.01104         0
   176/299     4.74G   0.01613  0.004558         0   0.02069        12       640    0.9709    0.9321    0.9708     0.927   0.01938   0.01106         0
   177/299     4.74G   0.01675  0.004448         0   0.02119        15       640    0.9699    0.9328    0.9708    0.9267   0.01935   0.01108         0
   178/299     4.74G   0.01629  0.004384         0   0.02068        12       640    0.9708    0.9328    0.9708     0.927   0.01932   0.01108         0
   179/299     4.74G   0.01624  0.004463         0    0.0207        14       640    0.9689    0.9349     0.971    0.9266    0.0193   0.01109         0
   180/299     4.74G   0.01624  0.004352         0   0.02059        15       640    0.9707    0.9338    0.9711    0.9268   0.01931    0.0111         0
   181/299     4.74G   0.01623  0.004502         0   0.02073        11       640     0.971    0.9345    0.9712    0.9268   0.01932    0.0111         0
   182/299     4.74G   0.01602  0.004334         0   0.02036        10       640    0.9704    0.9349    0.9712    0.9268   0.01935    0.0111         0
   183/299     4.74G   0.01603  0.004379         0   0.02041        10       640    0.9688    0.9349    0.9712    0.9271   0.01935    0.0111         0
   184/299     4.74G   0.01611  0.004511         0   0.02062         9       640    0.9709    0.9338    0.9712    0.9272   0.01936    0.0111         0
   185/299     4.74G   0.01607  0.004405         0   0.02047        13       640     0.972    0.9328    0.9712    0.9271   0.01936   0.01111         0
   186/299     4.74G   0.01603  0.004419         0   0.02045        18       640    0.9729    0.9317    0.9716    0.9273   0.01936   0.01111         0
   187/299     4.74G   0.01603    0.0044         0   0.02043         9       640     0.971    0.9337    0.9718    0.9274   0.01937   0.01111         0
   188/299     4.74G   0.01627  0.004541         0   0.02081        21       640     0.971    0.9336     0.972    0.9276   0.01937   0.01111         0
   189/299     4.74G    0.0155  0.004285         0   0.01978        12       640     0.973    0.9332     0.972    0.9276   0.01938   0.01112         0
   190/299     4.74G   0.01581  0.004335         0   0.02015         9       640    0.9726    0.9338    0.9722    0.9277   0.01941   0.01112         0
   191/299     4.74G   0.01562  0.004301         0   0.01992         9       640    0.9698    0.9359    0.9723    0.9278   0.01943   0.01112         0
   192/299     4.74G   0.01591  0.004444         0   0.02035         7       640    0.9659      0.94    0.9723    0.9277   0.01944   0.01112         0
   193/299     4.74G    0.0158  0.004369         0   0.02017        10       640     0.966      0.94    0.9723    0.9279   0.01946   0.01112         0
   194/299     4.74G   0.01576  0.004363         0   0.02013        20       640     0.968    0.9387    0.9724     0.928   0.01948   0.01112         0
   195/299     4.74G   0.01565  0.004306         0   0.01995        20       640    0.9657      0.94    0.9725     0.928   0.01949   0.01113         0
   196/299     4.74G    0.0158  0.004347         0   0.02014        19       640    0.9636    0.9421    0.9725    0.9281    0.0195   0.01114         0
   197/299     4.74G   0.01589  0.004336         0   0.02023         9       640     0.971    0.9349    0.9726    0.9282    0.0195   0.01114         0
   198/299     4.74G   0.01582  0.004378         0   0.02019        15       640    0.9709    0.9349    0.9727    0.9282    0.0195   0.01115         0
   199/299     4.74G   0.01558  0.004244         0   0.01983        24       640     0.966    0.9399    0.9728    0.9278   0.01951   0.01115         0
   200/299     4.74G   0.01599  0.004253         0   0.02025        12       640     0.966    0.9396    0.9728    0.9279    0.0195   0.01116         0
   201/299     4.74G   0.01537  0.004335         0   0.01971         6       640     0.966    0.9399    0.9729     0.928   0.01947   0.01117         0
   202/299     4.74G   0.01547  0.004249         0   0.01972        16       640     0.967    0.9389     0.973     0.928   0.01945   0.01118         0
   203/299     4.74G   0.01534  0.004211         0   0.01955        18       640    0.9669     0.939     0.973    0.9281   0.01944   0.01119         0
   204/299     4.74G   0.01548  0.004244         0   0.01972        10       640    0.9669     0.939    0.9729    0.9281   0.01944   0.01119         0
   205/299     4.74G    0.0153  0.004271         0   0.01958        13       640     0.967    0.9389     0.973    0.9278   0.01944    0.0112         0
   206/299     4.74G   0.01517  0.004254         0   0.01943        10       640    0.9687     0.938     0.973    0.9274   0.01943   0.01121         0
   207/299     4.74G   0.01557  0.004236         0    0.0198        17       640    0.9688     0.938     0.973    0.9278   0.01943   0.01121         0
   208/299     4.74G   0.01531  0.004158         0   0.01947         7       640     0.969    0.9379    0.9731    0.9278   0.01943   0.01122         0
   209/299     4.74G   0.01575  0.004281         0   0.02003        10       640    0.9689     0.938    0.9731    0.9275   0.01943   0.01123         0
